group,seawater,freshwater,area
shrimp,3,0,111480
shrimp,3,0,105693
shrimp,3,0,107823
shrimp,3,0,103962
shrimp,3,0,57240
shrimp,3,0,117651
shrimp,3,0,102447
shrimp,0,3,81300
shrimp,0,3,116004
shrimp,0,3,79770
shrimp,0,3,68328
shrimp,0,3,98496
shrimp,0,3,108582
shrimp,0,3,105915
shrimp,0,3,87624
shrimp,0,3,70251
shrimp,0,3,106362
shrimp,0,3,92874
shrimp,0,3,103923
shrimp,0,3,103203
shrimp,0,3,98520
shrimp,0,3,111360
shrimp,0,3,107064
shrimp,0,3,108960
shrimp,0,3,75528
shrimp,0,3,102372
shrimp,0,3,108531
shrimp,2,0,138360
shrimp,2,0,126594
shrimp,2,0,112524
shrimp,2,0,94782
shrimp,2,0,103470
shrimp,2,0,111258
shrimp,2,0,72972
shrimp,2,0,107364
shrimp,2,0,103683
shrimp,2,0,112842
shrimp,2,0,78011
shrimp,2,0,85386
shrimp,2,0,92142
shrimp,2,0,85587
shrimp,2,0,83355
shrimp,2,0,99161
shrimp,2,0,99684
shrimp,2,0,96384
shrimp,2,0,127924
shrimp,2,0,98491
shrimp,2,0,121716
shrimp,0,2,100509
shrimp,0,2,102984
shrimp,0,2,152826
shrimp,0,2,129204
shrimp,0,2,96216
shrimp,0,2,94929
shrimp,0,2,74496
shrimp,0,2,97665
shrimp,0,2,71744
shrimp,0,2,99920
shrimp,0,2,116730
shrimp,0,2,97728
shrimp,0,2,109485
shrimp,0,2,113658
shrimp,0,2,107064
shrimp,0,2,109803
shrimp,0,2,126489
shrimp,0,2,123039
shrimp,0,2,115857
shrimp,0,2,140481
shrimp,1,0,90048
shrimp,1,0,81558
shrimp,1,0,70866
shrimp,1,0,92964
shrimp,1,0,89072
shrimp,1,0,99117
shrimp,1,0,67281
shrimp,1,0,118701
shrimp,1,0,96909
shrimp,1,0,95328
shrimp,1,0,88947
shrimp,1,0,72930
shrimp,1,0,42600
shrimp,1,0,87630
shrimp,1,0,84501
shrimp,1,0,92808
shrimp,1,0,107622
shrimp,1,0,120822
shrimp,1,0,121044
shrimp,1,0,192720
shrimp,1,0,97740
shrimp,0,1,122922
shrimp,0,1,105762
shrimp,0,1,103812
shrimp,0,1,99171
shrimp,0,1,74886
shrimp,0,1,90988
shrimp,0,1,113460
shrimp,0,1,113949
shrimp,0,1,105141
shrimp,0,1,123548
shrimp,0,1,101046
shrimp,0,1,73696
shrimp,0,1,51996
shrimp,0,1,79821
shrimp,0,1,89241
shrimp,0,1,148353
shrimp,0,1,114975
shrimp,0,1,115776
shrimp,0,1,105012
shrimp,0,1,110514
shrimp,0,1,89520
shrimp,0,1,92472
shrimp,0,1,87192
shrimp,0,0,141134.161
shrimp,0,0,91501.835
shrimp,0,0,135885.853
shrimp,0,0,188083.856
shrimp,0,0,136357.324
shrimp,0,0,110349.692
shrimp,0,0,126079.996
shrimp,0,0,130136.836
shrimp,0,0,131262
shrimp,0,0,143484
shrimp,0,0,120933
shrimp,0,0,130224
shrimp,0,0,132999
shrimp,0,0,128286
shrimp,0,0,126144
shrimp,0,0,125973
shrimp,0,0,137049
shrimp,0,0,127488
shrimp,0,0,142560
shrimp,0,0,121086
hykd,3,0,773.847
hykd,3,0,1109.031
hykd,3,0,948.54
hykd,3,0,936.164
hykd,3,0,469.096
hykd,3,0,579.066
hykd,3,0,763.296
hykd,3,0,1355.55
hykd,3,0,534.023
hykd,3,0,1128.509
hykd,3,0,1050.191
hykd,3,0,1253.291
hykd,3,0,960.511
